brand,model,tank,capacity,transmission,rent_price,discount_percentage
Suzuki,XL7,62.62,6,3XL,3.99,14
Volkswagen,Jetta III,75.27,5,M,16.99,15
Toyota,Camry,65.65,3,3XL,32.99,10
Volkswagen,Jetta,73.24,5,S,6.99,10
Chevrolet,Silverado 3500,63.01,3,XS,2.49,18
Ford,Bronco,79.53,4,2XL,12.99,15
Saturn,VUE,70.91,4,L,24.99,16
Pontiac,Sunbird,69.03,7,2XL,19.99,11
Dodge,Charger,55.49,4,L,12.99,13
Audi,A6,62.7,5,XS,119.99,16
Nissan,Xterra,76.09,7,XS,199.99,12
GMC,Sierra 1500,52.05,4,2XL,24.99,18
Volkswagen,Passat,66.65,7,S,29.99,19
Hummer,H1,50.51,7,3XL,5.99,16
GMC,Yukon XL 2500,61.08,5,2XL,3.99,15
Acura,TSX,79.83,5,XL,6.99,14
Dodge,D150 Club,58.96,3,XS,14.99,20
Volkswagen,R32,52.27,3,L,14.99,14
Dodge,Ram Van 2500,60.97,4,2XL,2.49,13
BMW,M,52.41,3,S,2.99,16
Buick,Rendezvous,56.06,6,2XL,59.99,20
Toyota,Venza,68.66,3,M,79.99,11
Land Rover,Range Rover,69.8,5,S,4.99,18
BMW,Z3,60.33,6,2XL,4.99,15
GMC,Yukon XL 2500,71.91,7,2XL,2.49,12
Porsche,Boxster,59.31,4,XS,5.99,13
Volkswagen,Jetta,55.52,6,M,2.49,10
Acura,MDX,68.62,3,XS,19.99,17
Subaru,Legacy,68.59,3,L,58.99,16
Toyota,Highlander,57.87,4,XL,3.29,14
Oldsmobile,Silhouette,60.01,5,XL,44.99,13
BMW,6 Series,73.13,5,XS,39.99,19
Dodge,Ram,56.28,5,L,8.49,14
Dodge,Ram Wagon B150,69.68,6,XL,11.99,19
Chevrolet,Express 2500,58.03,6,3XL,1.89,17
Mazda,B-Series,76.13,7,L,4.49,17
Lincoln,MKT,70.16,3,XS,29.99,15
Infiniti,I,72.98,5,M,19.99,14
Mercedes-Benz,300SD,61.19,5,2XL,2.29,15
Maserati,430,77.55,4,S,4.99,17
Nissan,200SX,60.18,3,3XL,1.89,10
Ford,F250,59.57,3,XL,2.49,10
Mitsubishi,Chariot,69.8,3,XL,19.99,11
Ford,Flex,74.27,5,2XL,3.29,10
Lexus,GX,58.18,4,S,39.99,20
Audi,S8,66.65,5,L,3.79,15
Lincoln,Mark VIII,67.39,3,M,34.99,15
Bentley,Azure,71.15,4,XL,34.99,20
Volkswagen,New Beetle,64.81,6,XL,5.99,18
Lincoln,Town Car,65.46,7,2XL,59.99,16
Hummer,H2,64.24,4,S,34.99,15
Lexus,LS,59.72,4,L,1.99,10
Hummer,H2,78.06,4,XS,9.99,20
Chrysler,New Yorker,63.81,7,L,4.99,12
Hyundai,Tiburon,62.91,3,L,14.99,19
Volkswagen,Routan,59.96,3,XL,4.29,16
Toyota,T100 Xtra,60.57,3,M,34.99,13
Chevrolet,Cobalt SS,52.83,6,L,8.49,12
Pontiac,Sunfire,67.81,7,M,3.49,14
Buick,Century,64.54,4,L,24.99,14
Chevrolet,Camaro,65.67,4,XL,14.99,11
Pontiac,Firefly,78.74,3,3XL,19.99,10
Land Rover,Discovery,69.91,5,3XL,12.99,16
Pontiac,Grand Prix,62.77,4,M,3.99,10
Chrysler,Town & Country,57.27,3,XL,49.99,20
Dodge,Ram Van 3500,62.18,6,XS,2.49,12
Pontiac,Solstice,62.66,3,XL,29.99,11
Volkswagen,GTI,63.43,4,XL,24.99,19
Mercedes-Benz,C-Class,50.85,7,3XL,69.99,13
Kia,Optima,63.01,6,XL,12.99,20
Ford,E-350 Super Duty Van,62.19,5,XL,34.99,16
Hyundai,Elantra,72.15,4,L,19.99,16
Ford,Thunderbird,58.85,4,XL,2.49,12
Lexus,RX,67.07,6,S,15.99,17
Dodge,Ram 1500,67.71,4,XL,69.99,10
Toyota,Corolla,53.78,6,S,5.29,14
Land Rover,LR2,61.4,5,3XL,8.99,12
Ford,LTD,66.31,3,M,15.99,10
BMW,7 Series,54.77,3,2XL,24.99,12
Jeep,Wrangler,69.32,3,M,4.29,19
Toyota,Echo,67.29,5,L,9.99,11
Honda,CR-V,74.14,6,S,12.99,18
Volkswagen,GTI,64.01,4,S,2.49,10
Mazda,Mazda6,68.17,7,2XL,3.49,11
GMC,Sierra 1500,53.07,7,3XL,14.99,20
Cadillac,Eldorado,66.99,6,2XL,18.99,19
Chrysler,Voyager,72.61,7,XS,49.99,17
Audi,V8,69.46,6,3XL,29.99,14
Honda,Pilot,79.39,5,3XL,69.99,13
Geo,Prizm,62.43,3,S,29.99,17
Chevrolet,Blazer,51.95,6,XL,25,19
Ford,F-Series Super Duty,53.46,3,L,34.99,11
Dodge,Durango,66.76,7,2XL,19.99,12
Hyundai,Sonata,53.22,6,XS,4.29,14
BMW,8 Series,61.18,3,XL,24.99,12
Acura,TL,68.38,6,XL,1.69,19
Honda,Odyssey,77.17,6,L,23.99,13
Plymouth,Grand Voyager,66.52,4,M,59.99,17
Hyundai,Elantra,68.37,3,3XL,1.99,12
Land Rover,Discovery,67.98,6,2XL,19.99,12
Audi,riolet,63.51,7,XL,5.99,10
Maserati,Quattroporte,50.96,6,2XL,79.99,11
Dodge,Intrepid,61.08,5,XS,45,14
Nissan,200SX,70.83,3,XL,8.99,14
Mazda,Familia,60.15,3,3XL,3.29,19
Ford,Taurus,62.69,6,S,2.49,12
Lincoln,LS,55.06,6,L,3.99,19
BMW,Z4 M,69.55,4,3XL,2.49,18
Lincoln,Town Car,67.8,7,M,19.99,20
Pontiac,LeMans,62.78,6,XS,3.49,12
Dodge,Avenger,75.73,7,XL,3.99,18
Ford,Ranger,70.01,6,M,22.99,11
Audi,A4,55.95,5,M,139.99,19
Subaru,Brat,59.1,6,XS,3.99,11
Nissan,Murano,70.37,6,XS,3.99,13
Nissan,300ZX,69.48,6,XL,4.79,16
Dodge,D150 Club,72.52,4,3XL,35.99,12
Toyota,4Runner,61.51,3,2XL,3.99,20
Cadillac,XLR,57.73,6,L,39.99,11
Subaru,Leone,75.08,5,L,1.49,16
Nissan,Xterra,64.88,7,M,3.29,18
Toyota,TundraMax,79.12,4,3XL,24.99,19
Pontiac,Bonneville,53.65,5,S,6.99,13
Lexus,GS,67.24,6,2XL,19.99,11
Ford,Excursion,68.84,7,XS,2.89,17
Volvo,V70,74.01,7,3XL,1.99,19
Saturn,Relay,60.97,5,2XL,4.99,15
Mazda,B-Series,79.31,6,M,6.49,14
Ford,Focus,58.47,7,L,5.99,19
Mercedes-Benz,W201,52.65,7,3XL,29.99,17
Chevrolet,Corvette,54.06,5,3XL,6.99,11
GMC,Yukon,54.67,3,M,49.99,11
Pontiac,GTO,70.13,3,L,22.99,19
Acura,NSX,51.24,4,L,6.99,20
Infiniti,I,70.66,5,S,49.99,16
Honda,Pilot,58.68,6,XL,7.49,18
Ford,F250,72.35,5,S,39.99,10
Chevrolet,Malibu,77.2,3,XS,7.49,15
Buick,Roadmaster,75.26,7,S,39.99,19
Honda,S2000,73.39,4,M,12.99,20
Hummer,H1,59.81,6,S,89.99,16
Renault,Alliance,78.12,7,XS,3.29,18
Cadillac,Fleetwood,54.78,3,XL,29.99,11
Lexus,LS,75.08,4,S,199.99,16
Mercedes-Benz,SLR McLaren,69.83,3,M,1.89,20
GMC,Savana 3500,58.75,5,XL,2.69,20
Honda,Civic,74.11,7,L,3.49,12
Chrysler,Town & Country,67.68,7,2XL,4.99,18
Dodge,Ram Van B250,58.81,5,M,27.99,10
Mitsubishi,Galant,52.62,3,3XL,6.99,14
Infiniti,EX,70.85,5,2XL,4.79,10
Ford,Ranger,65.96,3,XL,24.99,10
Ford,Mustang,52.68,7,2XL,45.99,17
Saab,9-3,59.69,6,XS,3.99,15
Mazda,Miata MX-5,63.29,6,3XL,3.99,11
BMW,X3,63.77,7,XS,4.29,15
Ford,Econoline E350,50.97,4,S,12.99,20
GMC,Vandura 2500,64.75,5,L,2.79,16
Subaru,Legacy,74.18,7,3XL,99.99,10
Chevrolet,Camaro,57.91,4,M,4.49,13
Chevrolet,Corvette,52.07,3,3XL,4.99,12
Ford,Ranger,62.97,5,M,17.99,10
Buick,Lucerne,55.97,6,3XL,29.99,18
Plymouth,Acclaim,73.6,3,3XL,24.99,17
Bentley,Continental GTC,74.81,6,3XL,2.79,16
Nissan,Pathfinder,65.77,5,3XL,29.99,10
Lexus,HS,64.17,5,XL,4.99,11
Dodge,Ram 1500,51.27,3,L,19.99,16
Chrysler,Cirrus,57.94,7,XS,6.99,17
Lincoln,MKX,60.24,4,XL,79.99,19
Chevrolet,Camaro,64.72,6,2XL,4.99,19
Nissan,Xterra,72.07,3,L,3.59,12
Ford,Windstar,51.23,6,XS,3.99,14
Oldsmobile,Bravada,60.7,4,XS,19.99,20
Toyota,Corolla,58.82,6,2XL,2.59,15
Toyota,Paseo,63.98,5,3XL,19.99,13
Hummer,H1,70.17,6,XS,39.99,19
Ferrari,F430,72.95,6,XS,8.99,18
BMW,5 Series,60.56,5,XS,79.99,19
Dodge,Ram 3500,71.36,7,M,39.99,18
Ford,Thunderbird,53.45,4,3XL,19.99,15
Volvo,850,60.36,5,3XL,24.99,10
Dodge,Grand Caravan,79.23,7,3XL,34.99,14
Dodge,Intrepid,68.73,7,3XL,6.99,13
Mitsubishi,Precis,74.99,3,2XL,39.99,12
Ford,Probe,56.68,5,XL,2.99,19
Volkswagen,New Beetle,71.98,7,XS,49.99,15
Dodge,Ram 2500 Club,54.69,4,2XL,49.99,11
Mazda,Mazda3,69.47,7,XS,129.99,10
Mazda,Millenia,74.44,5,M,44.99,18
Saab,9-3,51.22,3,M,19.99,16
Jaguar,XJ Series,54.89,4,XL,49.99,15
Mercury,Topaz,62.88,5,L,6.49,16
Toyota,Tundra,75.48,6,3XL,4.49,13
Subaru,Legacy,58.46,7,2XL,3.99,19
Cadillac,DeVille,56.84,3,3XL,79.99,16
Mitsubishi,Endeavor,65.28,6,M,4.19,13
Toyota,Xtra,75.32,4,2XL,3.99,10
Toyota,Sequoia,71.83,6,L,1.49,18
Ford,F250,78.5,3,L,39.99,16
Jeep,Grand Cherokee,70.22,5,XL,5.99,12
Honda,Ridgeline,67.34,5,XL,129.99,19
GMC,Savana 3500,55.64,7,2XL,4.49,19
Suzuki,Samurai,73.23,4,2XL,5.49,17
Mazda,RX-7,57.23,6,XL,3.29,18
Honda,Civic,52.73,7,S,3.29,19
Ford,Explorer Sport,63.94,7,M,4.29,12
Ford,Escort,63.83,3,3XL,34.99,17
Volvo,XC70,78.74,3,XS,24.99,17
Mercedes-Benz,S-Class,75.34,6,3XL,32.99,16
Chevrolet,HHR,53.58,5,2XL,22.99,18
Pontiac,Firebird,69.04,5,M,1.99,11
Mitsubishi,Eclipse,57.44,3,S,29.99,16
Kia,Sportage,67.51,6,M,5.49,17
Hyundai,Santa Fe,66.37,3,XL,3.49,12
Dodge,Neon,63.76,5,M,9.99,16
Mercury,Sable,57.99,5,L,54.99,13
Honda,Civic,70.42,4,3XL,8.99,18
Pontiac,Aztek,77.54,5,M,34.99,14
GMC,Yukon XL 1500,75.22,7,S,2.49,10
GMC,Sierra 1500,64.23,6,2XL,7.99,17
Suzuki,Daewoo Magnus,76.42,4,L,19.99,11
Ford,Mustang,74.33,7,2XL,4.29,13
Porsche,911,64.82,6,M,24.99,18
GMC,3500 Club Coupe,74.01,4,XS,2.99,17
Mercedes-Benz,G-Class,75.41,4,3XL,69.99,19
BMW,325,69.09,5,S,5.49,19
Mazda,B-Series Plus,67.76,4,2XL,99.99,13
Cadillac,CTS,52.65,4,S,4.49,11
Audi,A8,52.52,6,XS,129.99,14
Lexus,LS,67.1,5,2XL,2.49,18
Dodge,Durango,54.16,5,S,4.49,20
Suzuki,Daewoo Lacetti,67.27,7,XL,8.99,20
Ford,Expedition,69.83,3,M,2.79,16
Chrysler,Town & Country,57.1,7,3XL,39.99,13
Isuzu,Oasis,67.86,5,S,39.99,20
Dodge,Ram 2500 Club,69.68,5,3XL,5.29,16
Mercedes-Benz,SL-Class,71.51,6,XL,4.99,20
Infiniti,G35,71.42,6,XL,4.79,10
Toyota,Venza,52.59,3,S,2.79,10
Nissan,Armada,57.26,3,L,3.49,17
Toyota,Prius,64.56,4,M,6.49,19
Dodge,Grand Caravan,63.32,4,3XL,3.99,18
Dodge,Dakota,56.96,3,XS,199.99,16
Nissan,Murano,65.48,4,M,2.99,13
Pontiac,Firebird Formula,58.18,6,M,2.99,16
Pontiac,LeMans,64.2,5,L,3.49,15
Cadillac,XLR-V,69.73,6,3XL,79.99,20
Toyota,Xtra,60.35,7,3XL,19.99,16
Ford,Mustang,60.64,7,XL,25.99,18
Alfa Romeo,164,76.8,3,2XL,6.99,14
Honda,CR-X,55.13,5,S,29.99,20
Daewoo,Leganza,68.28,5,M,39.99,14
Pontiac,Grand Prix,51.64,7,M,19.99,20
Mazda,CX-9,55.04,6,S,49.99,16
Ford,F250,69.94,7,S,10.99,10
Ford,F-350 Super Duty,67.55,3,3XL,249.99,14
GMC,Sierra 3500,60.19,4,S,3.99,17
Audi,R8,64.1,3,M,3.19,14
Saturn,S-Series,74.72,3,3XL,34.99,14
Ford,Escort,63.69,3,M,3.79,17
Mazda,Tribute,53.96,7,3XL,6.49,12
Mercury,Topaz,55.5,5,L,3.49,20
Audi,A6,74.05,6,S,39.99,13
Oldsmobile,Silhouette,73.93,4,S,15.99,10
GMC,Sonoma,78.17,3,S,2.49,19
Suzuki,XL7,77.94,5,XS,2.99,17
Mitsubishi,Truck,63.5,4,M,2.99,16
Acura,Legend,76.73,5,XS,3.19,12
Chevrolet,Corvette,77.18,5,XS,2.99,18
Honda,CR-V,58.81,5,M,49.99,13
Mercury,Milan,73.05,7,L,3.29,14
Pontiac,Aztek,65.97,5,S,49.99,13
Buick,Regal,57.06,5,3XL,4.99,19
Honda,Prelude,61.34,4,XL,24.99,10
Honda,Prelude,73.04,7,L,39.99,19
Volvo,S60,72.04,6,3XL,5.49,19
Jeep,Liberty,77.21,7,S,4.49,17
Ford,ZX2,59.47,4,XS,2.99,14
Audi,Quattro,57.91,3,XS,2.99,10
Dodge,Ram Van 3500,61.8,5,3XL,3.49,12
Ford,Explorer Sport Trac,55.54,7,XL,3.49,12
Mercedes-Benz,190E,55.95,7,3XL,14.99,15
Toyota,Tacoma,76.07,6,XL,6.49,12
Toyota,4Runner,78.35,6,L,3.29,15
Aston Martin,DBS,59.48,5,2XL,39.99,11
Pontiac,Vibe,70.31,6,2XL,109.99,12
Chevrolet,3500,73.82,4,XL,39.99,16
Volkswagen,Scirocco,50.95,3,XS,119.99,14
Mercedes-Benz,SL-Class,64.31,6,L,29.99,20
Infiniti,G35,61.0,7,XS,79.99,16
Dodge,Dakota Club,62.18,5,XS,99.99,20
Holden,VS Commodore,52.69,7,2XL,4.29,11
Lincoln,Continental,59.5,7,S,3.39,16
BMW,645,71.44,7,M,2.99,10
Ford,Flex,57.67,5,XS,2.99,17
Volkswagen,Touareg 2,63.52,3,2XL,34.99,19
Audi,R8,60.65,4,XS,15.99,10
Toyota,MR2,63.65,4,2XL,99.99,14
Mazda,MX-5,58.78,4,XS,19.99,14
Chrysler,Fifth Ave,58.42,6,M,9.99,10
Suzuki,Daewoo Magnus,76.3,7,2XL,24.99,14
Lexus,GX,62.67,4,XS,24.99,18
Subaru,Impreza,53.82,4,S,29.99,19
Cadillac,SRX,73.77,4,3XL,49.99,14
Suzuki,XL-7,64.84,6,M,6.49,14
Audi,A5,62.86,3,S,3.29,14
Ford,Excursion,59.01,5,3XL,8.99,13
GMC,Vandura 3500,69.41,4,XS,1.5,10
Aptera,2e,68.31,6,M,4.99,13
Pontiac,Firebird,63.28,7,L,1.89,13
Volvo,S40,78.7,3,3XL,49.99,12
Lexus,SC,69.84,4,M,1.99,14
Volvo,V70,73.97,7,3XL,4.79,10
Mazda,RX-7,61.12,4,M,6.29,10
Toyota,TundraMax,61.68,4,XS,5.99,19
Lexus,RX,59.85,4,M,19.99,11
Dodge,Dakota,53.5,3,2XL,3.49,12
Chevrolet,Camaro,63.09,3,L,39.99,18
Ford,Focus,76.66,5,L,59.99,18
Honda,del Sol,76.45,5,L,149.99,17
Toyota,Camry,66.92,7,XL,34.99,20
Infiniti,QX,57.36,3,2XL,39.99,12
Pontiac,Grand Prix,77.92,6,XL,2.49,16
Mitsubishi,Diamante,73.57,5,M,3.79,16
Toyota,Tercel,67.37,3,3XL,29.99,20
Subaru,Leone,66.49,7,L,22.99,18
Chevrolet,Monte Carlo,56.2,5,2XL,3.99,20
Suzuki,Swift,61.35,6,S,129.99,16
Toyota,RAV4,53.49,7,2XL,29.99,19
Nissan,Armada,58.9,3,S,4.99,14
Ford,Aspire,63.45,6,M,3.29,14
Plymouth,Colt,66.24,3,M,34.99,20
Acura,RL,72.77,5,XL,14.99,11
Dodge,Colt,58.45,7,XL,2.49,10
Mercury,Mountaineer,54.11,5,3XL,4.49,20
Pontiac,Bonneville,66.86,5,L,5.99,15
Volvo,V40,76.01,4,M,9.99,19
MINI,Countryman,77.97,6,3XL,34.99,13
Lexus,LX,59.93,5,XS,4.99,11
Chrysler,LeBaron,57.2,4,L,59.99,12
MINI,Cooper Clubman,51.21,7,S,49.99,13
Lamborghini,Murciélago,73.15,4,S,79.99,11
Chevrolet,Caprice Classic,72.76,3,L,2.99,13
Buick,Roadmaster,79.04,3,L,14.99,15
Nissan,Altima,78.44,6,XS,24.99,13
Lexus,GS,63.96,5,3XL,22.99,10
Nissan,Quest,67.9,3,L,1.99,19
Ford,Mustang,61.77,7,XS,3.29,14
Mazda,CX-9,59.18,4,2XL,12.99,11
Chevrolet,G-Series G30,59.37,6,M,2.79,13
Pontiac,Grand Prix,50.85,4,L,2.79,15
Audi,S4,54.78,7,S,39.99,10
Chrysler,300,59.08,5,3XL,3.49,19
Mercedes-Benz,E-Class,53.29,6,XS,149.99,14
Dodge,Charger,57.15,6,S,1.99,16
Mitsubishi,Montero Sport,74.16,5,2XL,79.99,20
MINI,Clubman,62.72,6,3XL,19.99,17
Infiniti,G37,79.07,5,S,3.29,20
Toyota,Sienna,73.97,3,XS,49.99,19
Chevrolet,Tahoe,76.84,3,3XL,10.99,20
Daihatsu,Charade,79.82,6,M,24.99,16
Jaguar,X-Type,76.44,3,3XL,5.49,10
Dodge,Viper,59.5,4,3XL,39.99,10
Mercury,Sable,66.45,5,2XL,4.49,18
Infiniti,G37,62.99,7,XS,12.99,18
Ford,Courier,61.25,3,M,99.99,10
Ford,Expedition EL,54.21,6,2XL,24.99,10
Honda,Accord,71.79,4,3XL,1.99,13
Mercury,Grand Marquis,73.94,4,L,5.99,19
Dodge,Ram Van 1500,64.46,3,M,69.99,15
Land Rover,LR4,65.8,6,XS,10.99,12
Jeep,Comanche,54.67,4,3XL,3.99,11
Mazda,Mazdaspeed6,72.96,5,3XL,14.99,12
Cadillac,Seville,52.81,4,L,4.19,19
Toyota,Sequoia,54.32,4,3XL,19.99,20
Ford,E-Series,70.54,7,3XL,5.29,18
Toyota,Sequoia,70.87,4,3XL,39.99,12
Mazda,B-Series Plus,52.95,4,M,89.99,20
Aston Martin,V8 Vantage,56.95,7,L,7.99,14
Nissan,Maxima,73.97,6,L,22.99,18
Honda,Civic,69.8,6,M,7.49,14
Jaguar,XJ Series,72.44,4,L,49.99,16
Lotus,Elan,54.7,7,3XL,19.99,18
Chevrolet,Lumina APV,74.6,3,3XL,3.99,19
Buick,Regal,61.61,5,XL,8.99,10
Toyota,T100 Xtra,71.57,3,XL,4.89,19
Cadillac,Seville,73.64,3,M,2.79,13
Buick,Regal,54.89,6,2XL,3.99,10
Lotus,Esprit,58.95,3,M,2.79,10
Suzuki,SJ,52.98,4,M,49.99,15
Chevrolet,APV,61.15,6,M,39.99,18
Kia,Optima,54.84,4,XS,3.29,18
Land Rover,Range Rover,62.37,7,2XL,10.99,20
Lexus,RX Hybrid,73.49,4,S,4.29,17
Ford,Escape,66.15,5,2XL,3.29,14
Dodge,Viper,78.56,3,XL,19.99,11
Chevrolet,Corvette,62.3,4,2XL,1.89,20
Saturn,Outlook,61.36,3,XS,24.99,14
Subaru,Outback,69.63,7,XS,2.99,18
Infiniti,Q,74.08,6,XS,3.99,19
Chrysler,Crossfire,69.58,5,3XL,3.49,10
Volkswagen,Scirocco,57.79,5,S,7.99,18
BMW,6 Series,59.33,6,L,14.99,13
Jeep,Wrangler,79.64,5,L,2.99,19
Ford,E-Series,52.28,4,2XL,39.99,15
Ford,E-350 Super Duty,72.08,4,XL,4.79,18
Volkswagen,Jetta,72.81,6,L,3.99,14
Dodge,Viper,62.36,3,3XL,39.99,15
Mercury,Cougar,62.38,7,S,3.29,18
Lincoln,MKZ,75.59,6,M,24.99,13
Audi,Allroad,62.54,5,XS,10.99,12
Mitsubishi,Pajero,72.24,5,M,69.99,17
Volvo,V70,63.41,7,2XL,2.99,12
Pontiac,Firefly,51.39,5,S,3.99,19
Toyota,Corolla,59.97,5,XL,1.99,14
GMC,Sierra,63.12,6,3XL,32.99,18
Toyota,Celica,61.8,5,XL,4.29,12
MINI,Cooper,50.09,7,XS,24.99,15
Peugeot,207,52.84,6,XL,2.49,13
GMC,Sierra 2500,64.87,7,S,5.29,20
Chevrolet,Tracker,68.43,4,M,39.99,20
Mercury,Mystique,57.46,7,XS,59.99,10
Nissan,Altima,70.18,6,2XL,19.99,15
Mazda,RX-7,67.92,3,S,34.99,19
Lincoln,Continental,65.68,5,M,12.99,19
Saturn,S-Series,71.24,4,XL,12.99,17
Chevrolet,Volt,54.84,3,3XL,5.29,19
